person_id, star_year, end_year, degree
10101010, 1990, 1998, ensino-fundamental
10101010, 1998, 2000, ensino-medio
10101010, 2001, 2005, graduacao
10101010, 2006, 2007, especializacao
10101010, 2008, 2009, mestrado
10101010, 2010, 2014, doutorado
20202020, 1985, 1989, ensino-fundamental
20202020, 1990, 1992, ensino-medio
20202020, 1993, 1995, graduacao
20202020, 1996, 1996, aperfeicoamento
20202020, 1997, 1998, especializacao
20202020, 1999, 2000, mestrado
20202020, 2001, 2005, doutorado
30303030, 2002, 2004, ensino-medio
30303030, 2005, 2007, graduacao
30303030, 2008, 2011, graduacao
30303030, 2010, 2014, graduacao
40404040, 1998, 1998, mestrado
40404040, 1999, 2001, doutorado
40404040, 2002, 2002, pos-doutorado
